game_id,season,week,team,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,defense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie
2012_19_SEA_ATL,2012,19,ATL,POST,0,1,1,1,1,0,0,35,12,0,2,4,0,0,0,0,0,28.0,0.0,4,0,7,3,38,3,0,0,28,66,14,0.42,0.58,1,0,0,0,0,0,14,3,0
2012_20_SF_ATL,2012,20,ATL,POST,0,0,1,1,1,0,0,39,9,0,1,1,0,0,0,0,0,28.0,0.0,4,1,5,4,22,3,0,0,29,51,13,0.57,0.43,0,1,0,0,0,0,14,4,0
2012_01_CIN_BAL,2012,1,BAL,REG,0,1,2,1,1,1,0,43,14,11,4,4,1,0,0,0,0,14.0,6.0,1,2,9,3,41,4,0,0,28,69,16,0.41,0.59,1,0,0,0,0,0,1,0,0
2012_02_BAL_PHI,2012,2,BAL,REG,0,2,2,2,1,1,0,59,3,2,2,4,0,0,0,0,0,24.0,0.0,3,1,6,5,34,5,2,0,39,75,15,0.52,0.45,0,0,0,0,1,0,1,1,0
2012_03_NE_BAL,2012,3,BAL,REG,0,0,2,0,0,2,0,47,15,14,2,5,0,0,0,0,0,30.0,0.0,3,3,5,6,43,4,0,0,34,77,15,0.44,0.56,1,0,0,0,0,0,2,1,0
2012_04_CLE_BAL,2012,4,BAL,REG,0,1,0,0,0,0,0,33,11,11,1,9,1,0,0,0,0,17.0,6.0,1,3,5,1,52,7,0,1,17,70,16,0.24,0.74,1,0,0,0,0,0,3,1,0
2012_05_BAL_KC,2012,5,BAL,REG,0,2,3,2,1,2,1,64,3,0,0,2,0,0,0,0,0,6.0,0.0,0,2,4,6,16,5,0,1,51,68,11,0.75,0.24,0,0,0,1,0,0,4,1,0
2012_06_DAL_BAL,2012,6,BAL,REG,0,1,0,0,0,0,0,44,22,22,1,3,0,0,0,0,0,29.0,0.0,2,4,6,15,38,1,0,0,42,80,13,0.52,0.48,1,0,0,0,0,0,5,1,0
2012_07_BAL_HOU,2012,7,BAL,REG,0,0,0,0,0,0,0,49,10,0,2,5,0,0,0,0,0,35.0,0.0,5,2,5,4,39,5,1,0,36,76,17,0.47,0.51,0,0,0,0,1,0,5,2,0
2012_09_BAL_CLE,2012,9,BAL,REG,0,2,1,0,0,1,0,38,17,1,1,6,0,0,0,0,0,15.0,0.0,0,5,5,7,38,4,0,0,27,65,14,0.42,0.58,0,0,0,1,0,0,6,2,0
2012_10_OAK_BAL,2012,10,BAL,REG,0,1,1,1,0,1,0,47,17,16,3,5,0,0,0,0,0,20.0,0.0,2,2,10,4,49,5,0,0,24,73,19,0.33,0.67,1,0,0,0,0,0,7,2,0
2012_11_BAL_PIT,2012,11,BAL,REG,0,1,3,2,2,1,0,35,16,5,3,5,0,0,0,0,0,16.0,0.0,1,1,4,4,42,8,0,0,27,69,14,0.39,0.61,0,0,0,1,0,0,8,2,0
2012_12_BAL_SD,2012,12,BAL,REG,0,0,0,0,0,0,0,39,17,17,6,6,0,0,0,0,0,13.0,0.0,1,2,4,5,42,9,0,0,23,65,16,0.35,0.65,0,0,0,1,0,0,9,2,0
2012_13_PIT_BAL,2012,13,BAL,REG,0,2,2,1,0,2,0,45,9,9,2,6,0,0,0,0,0,23.0,0.0,2,3,5,2,39,4,0,0,26,65,14,0.4,0.6,0,1,0,0,0,0,9,3,0
2012_14_BAL_WAS,2012,14,BAL,REG,0,0,3,1,2,1,1,28,28,9,3,7,0,0,0,0,0,31.0,0.0,2,3,5,7,31,5,0,0,36,67,15,0.54,0.46,0,0,0,0,1,0,9,4,0
2012_15_DEN_BAL,2012,15,BAL,REG,0,0,2,0,1,1,1,45,19,19,2,5,0,0,0,0,0,28.0,0.0,4,3,4,4,30,8,2,0,43,75,19,0.57,0.4,0,1,0,0,0,0,9,5,0
2012_16_NYG_BAL,2012,16,BAL,REG,0,0,0,0,0,0,0,34,7,7,3,9,0,0,0,0,0,14.0,0.0,2,0,8,4,31,8,0,0,14,45,18,0.31,0.69,1,0,0,0,0,0,10,5,0
2012_17_BAL_CIN,2012,17,BAL,REG,0,0,1,0,0,1,0,28,11,0,2,2,0,0,0,0,0,17.0,0.0,2,3,4,3,28,7,2,0,19,49,16,0.39,0.57,0,0,0,0,1,0,10,6,0
2012_18_IND_BAL,2012,18,BAL,POST,0,1,1,1,1,0,0,50,14,12,3,9,0,0,0,0,0,9.0,0.0,0,4,5,7,57,4,0,0,30,87,13,0.34,0.66,1,0,0,0,0,0,11,6,0
2012_19_BAL_DEN,2012,19,BAL,POST,0,2,2,1,2,0,0,65,9,0,3,5,1,0,0,0,0,30.0,6.0,5,1,6,7,46,5,1,0,40,87,17,0.46,0.53,0,0,0,1,0,0,12,6,0
2012_20_BAL_NE,2012,20,BAL,POST,0,2,1,1,1,0,0,33,22,0,0,7,0,0,0,0,0,13.0,0.0,1,2,5,1,52,5,0,2,28,82,13,0.34,0.63,0,0,0,1,0,0,13,6,0
2012_21_BAL_SF,2012,21,BAL,POST,0,1,2,1,1,1,0,42,10,6,3,4,0,0,0,0,0,29.0,0.0,2,3,8,2,32,3,0,0,29,61,16,0.48,0.52,0,0,0,1,0,0,14,6,0
2012_01_BUF_NYJ,2012,1,BUF,REG,0,1,2,0,2,0,0,39,10,0,0,0,0,0,0,0,0,36.0,0.0,6,2,5,5,26,2,0,1,36,63,15,0.57,0.41,0,0,0,0,1,0,0,1,0
2012_02_KC_BUF,2012,2,BUF,REG,0,1,2,2,2,0,0,42,11,6,5,6,0,0,0,0,0,23.0,0.0,2,1,6,4,46,7,0,1,24,71,16,0.34,0.65,1,0,0,0,0,0,1,1,0
2012_03_BUF_CLE,2012,3,BUF,REG,0,2,1,0,1,0,0,44,5,0,4,4,0,0,0,0,0,14.0,0.0,2,0,5,7,47,8,0,0,13,60,15,0.22,0.78,0,0,0,1,0,0,2,1,0
2012_04_NE_BUF,2012,4,BUF,REG,0,0,3,2,3,0,1,31,26,21,1,2,0,0,0,0,0,52.0,0.0,7,3,5,0,37,3,0,0,40,77,18,0.52,0.48,0,1,0,0,0,0,2,2,0
2012_05_BUF_SF,2012,5,BUF,REG,0,0,1,1,1,0,0,47,4,2,0,3,0,0,0,0,0,45.0,0.0,6,1,2,10,25,2,0,0,38,63,11,0.6,0.4,0,0,0,0,1,0,2,3,0
2012_06_BUF_ARI,2012,6,BUF,REG,1,2,0,0,0,0,0,49,7,2,5,7,0,0,0,0,0,16.0,0.0,1,4,3,5,40,5,0,1,30,71,13,0.42,0.56,0,0,0,1,0,0,3,3,0
2012_07_TEN_BUF,2012,7,BUF,REG,0,0,1,0,1,0,1,33,17,14,2,4,0,0,0,0,0,35.0,0.0,5,0,6,3,35,3,1,0,26,62,14,0.42,0.56,0,1,0,0,0,0,3,4,0
2012_09_BUF_HOU,2012,9,BUF,REG,0,0,0,0,0,0,0,45,11,0,2,3,0,0,0,0,0,21.0,0.0,3,1,4,7,29,5,1,0,31,61,13,0.51,0.48,0,0,0,0,1,0,3,5,0
2012_10_BUF_NE,2012,10,BUF,REG,0,0,0,0,0,0,0,40,10,0,1,3,0,0,0,0,0,37.0,0.0,4,3,6,5,39,2,0,0,29,68,15,0.43,0.57,0,0,0,0,1,0,3,6,0
2012_11_MIA_BUF,2012,11,BUF,REG,0,2,1,1,1,0,0,28,18,15,3,5,0,0,0,0,0,20.0,0.0,2,1,5,7,31,6,0,0,24,55,14,0.44,0.56,1,0,0,0,0,0,4,6,0
2012_12_BUF_IND,2012,12,BUF,REG,0,1,1,0,1,0,0,46,10,0,4,7,0,0,0,0,0,14.0,0.0,2,2,4,6,40,5,3,1,26,70,13,0.37,0.57,0,0,0,0,1,0,4,7,0
2012_13_JAX_BUF,2012,13,BUF,REG,0,1,4,2,3,1,0,30,14,11,3,6,0,0,0,0,0,18.0,0.0,1,1,7,10,45,5,1,0,18,64,14,0.28,0.7,1,0,0,0,0,0,5,7,0
2012_14_STL_BUF,2012,14,BUF,REG,0,1,2,0,1,1,0,30,20,14,1,4,0,0,0,0,0,15.0,0.0,1,0,4,1,41,8,1,0,26,68,13,0.38,0.6,0,1,0,0,0,0,5,8,0
2012_15_SEA_BUF,2012,15,BUF,REG,0,0,0,0,0,0,0,30,16,15,2,3,0,0,0,0,0,44.0,0.0,6,3,3,3,25,2,0,0,32,57,14,0.56,0.44,0,1,0,0,0,0,5,9,0
2012_16_BUF_MIA,2012,16,BUF,REG,0,0,2,0,1,1,1,46,2,0,2,4,0,0,0,0,0,24.0,0.0,3,2,3,2,27,5,2,0,33,62,13,0.53,0.44,0,0,0,0,1,0,5,10,0
2012_17_NYJ_BUF,2012,17,BUF,REG,0,1,4,1,3,1,0,32,26,21,1,2,1,0,0,0,0,10.0,6.0,0,4,5,3,36,4,1,0,35,72,13,0.49,0.5,1,0,0,0,0,0,6,10,0
2012_01_CAR_TB,2012,1,CAR,REG,0,0,1,0,0,1,0,46,9,4,2,2,0,0,0,0,0,16.0,0.0,1,3,3,5,26,5,4,0,32,62,12,0.52,0.42,0,0,0,0,1,0,0,1,0
2012_02_NO_CAR,2012,2,CAR,REG,0,2,1,0,1,0,0,39,19,0,1,4,1,0,0,0,0,28.0,6.0,3,2,6,1,50,3,1,0,26,77,14,0.34,0.65,1,0,0,0,0,0,1,1,0
