player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,team,season_type,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,safety,interception,def_touchdown,defensive_two_point_attempt,fumble_forced,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,team_defense_snaps,defense_pct,age
00-0021246,Larry Foote,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,71.0,57.0,34.0,18.0,19.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,968.0,986.0,0.9817444219066938,0.0
00-0021259,Scott Fujita,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CLE,REG,9.0,7.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,112.0,222.0,0.5045045045045045,0.0
00-0021261,Rocky Bernard,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,NYG,REG,13.0,21.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,354.0,708.0,0.5,0.0
00-0021262,Kenyon Coleman,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DAL,REG,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,164.0,440.0,0.3727272727272727,0.0
00-0021344,Brett Keisel,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,27.0,33.0,23.0,17.0,21.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,744.0,862.0,0.8631090487238979,0.0
00-0021377,Ed Reed,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,POST,16.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,267.0,267.0,1.0,0.0
00-0021377,Ed Reed,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,REG,46.0,19.0,15.0,0.0,8.0,0.0,8.0,2.0,0.0,0,0.0,0.0,0.0,1037.0,1090.0,0.9513761467889909,0.0
00-0021381,Quentin Jammer,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,LAC,REG,50.0,19.0,15.0,0.0,2.0,0.0,6.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0021429,Carson Palmer,QB,1979,2003.0,1.0,1.0,1.0,77.0,235.0,Southern California,2012,ATL,REG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0021429,Carson Palmer,QB,1979,2003.0,1.0,1.0,1.0,77.0,235.0,Southern California,2012,DEN,REG,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0021512,Quintin Mikell,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,LA,REG,79.0,23.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0021547,Antonio Gates,TE,1980,2003.0,0.0,0.0,0.0,76.0,255.0,Kent State,2012,ATL,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
00-0021547,Antonio Gates,TE,1980,2003.0,0.0,0.0,0.0,76.0,255.0,Kent State,2012,DEN,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
00-0021577,Chris Clemons,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SEA,POST,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.0,56.0,0.4464285714285714,0.0
00-0021577,Chris Clemons,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SEA,REG,59.0,14.0,4.0,42.0,50.0,0.0,1.0,0.0,0.0,10,0.0,0.0,0.0,818.0,939.0,0.8711395101171459,0.0
00-0021604,Israel Idonije,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CHI,REG,48.0,25.0,1.0,31.0,30.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,711.0,1050.0,0.6771428571428572,0.0
00-0021645,Tracy White,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,NE,POST,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,100.0,0.01,0.0
00-0021645,Tracy White,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,NE,REG,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.0,282.0,0.1773049645390071,0.0
